Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos
1006,Nate\'a0Schierholtz*\\schiena01,30,TOT,NL,122,383,353,32,69,11,4,7,37,4,5,20,84,.195,.243,.309,.552,52,109,6,4,0,6,0,9/78D\
1007,Brian\'a0Schlitter\\schlibr01,28,CHC,NL,57,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,460,1,0,0,0,0,0,1\
1008,Gus\'a0Schlosser\\schlogu01,25,ATL,NL,14,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,470,1,0,0,0,0,0,1\
1009,Jonathan\'a0Schoop\\schoojo01,22,BAL,AL,137,481,455,48,95,18,0,16,45,2,0,13,122,.209,.244,.354,.598,65,161,12,8,5,0,0,*45\
1010,Bo\'a0Schultz\\schulbo02,28,ARI,NL,4,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1\
1011,Skip\'a0Schumaker*\\schumsk01,34,CIN,NL,83,271,247,22,58,12,0,2,22,2,1,18,50,.235,.287,.308,.595,68,76,3,1,3,2,0,749/81\
1012,Evan\'a0Scribner\\scribev01,28,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1013,Xavier\'a0Scruggs\\scrugxa01,26,STL,NL,9,18,15,0,3,1,0,0,2,0,0,2,7,.200,.333,.267,.600,72,4,0,1,0,0,0,/3\
1014,Marco\'a0Scutaro\\scutama01,38,SFG,NL,5,13,11,1,1,0,0,0,0,0,0,1,3,.091,.167,.091,.258,-23,1,1,0,1,0,0,/4\
1015,Kyle\'a0Seager*\\seageky01,26,SEA,AL,159,654,590,71,158,27,4,25,96,7,5,52,118,.268,.334,.454,.788,126,268,12,8,1,3,3,*5/D\
1016,Jean\'a0Segura\\segurje01,24,MIL,NL,146,557,513,61,126,14,6,5,31,20,9,28,70,.246,.289,.326,.614,70,167,13,4,10,2,5,*6\
1017,Justin\'a0Sellers\\selleju01,28,CLE,AL,17,21,16,1,3,0,0,0,0,0,1,3,4,.188,.316,.188,.503,46,3,0,0,2,0,0,/465\
1018,Marcus\'a0Semien\\semiema01,23,CHW,AL,64,255,231,30,54,10,2,6,28,3,0,21,70,.234,.300,.372,.673,93,86,6,1,2,0,0,54/6D\
1019,Bryan\'a0Shaw#\\shawbr01,26,CLE,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1020,James\'a0Shields\\shielja02,32,KCR,AL,3,7,7,1,2,1,0,0,1,0,0,0,1,.286,.286,.429,.714,97,3,0,0,0,0,0,1\
1021,Matt\'a0Shoemaker\\shoemma01,27,LAA,AL,1,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1\
1022,Chasen\'a0Shreve*\\shrevch01,23,ATL,NL,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1023,J.B.\'a0Shuck*\\shuckja01,27,TOT,AL,38,114,110,12,16,1,0,2,9,2,0,3,12,.145,.168,.209,.377,8,23,1,0,1,0,1,7/9D\
1024,Kevin\'a0Siegrist*\\siegrke01,24,STL,NL,35,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
