Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos
417,Jeff\'a0Baker\\bakerje03,30,CHC,81,212,-1,0,-1,-3,-1,-7,-0.7,7,0,-0.1,.491,.496,0.2,-0.5,3,$1175000,Traded,3459/D7\
418,Ben\'a0Francisco\\francbe01,29,PHI,100,293,-2,-2,0,-9,-3,-16,-1.8,9,-7,-0.9,.482,.489,0.1,-1.3,2,$1175000,Traded,97/D\
419,Jacob\'a0Turner\\turneja01,20,DET,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1175000,Amateur Draft,/1\
420,Scott\'a0Hairston\\hairssc01,31,NYM,79,145,2,0,0,-1,-1,0,0.0,5,4,0.4,.500,.500,0.5,-0.2,5,$1100000,Free Agency,987/D4\
421,J.P.\'a0Howell*\\howeljp01,28,TBR,46,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1100000,Free Agency,1\
422,Jeff\'a0Karstens\\karstje01,28,PIT,30,58,-8,0,0,0,7,-1,-0.1,0,-1,-0.1,.497,.499,-0.1,0.0,-1,$1100000,Traded,1\
423,Chris\'a0Young\\youngch03,32,NYM,4,11,0,0,0,0,1,1,0.1,0,1,0.1,.530,.501,0.1,0.0,1,$1100000,Free Agency,/1\
424,Casey\'a0Janssen\\janssca01,29,TOR,55,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1095000,Amateur Draft,1\
425,Jeremy\'a0Accardo\\accarje01,29,BAL,31,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1080000,Free Agency,1\
426,Tim\'a0Stauffer\\staufti01,29,SDP,32,63,-7,0,0,0,8,1,0.1,0,1,0.1,.503,.501,0.1,0.0,1,$1075000,Amateur Draft,1\
427,Mike\'a0Fontenot*\\fontemi01,31,SFG,85,252,-4,1,1,-3,3,-3,-0.3,8,5,0.5,.496,.498,0.8,0.0,8,$1050000,Traded,64/5\
428,Mike\'a0Morse\\morsemi01,29,WSN,146,575,31,0,-1,-7,-7,15,1.6,18,33,3.4,.511,.510,4.1,-1.6,40,$1050000,Traded,37/D\
429,Erik\'a0Bedard*\\bedarer01,32,2TM,24,5,-1,0,0,0,1,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1000000,Traded,/1\
430,Wilson\'a0Betemit#\\betemwi01,29,2TM,97,359,4,-2,0,-9,1,-6,-0.7,13,7,0.6,.493,.498,1.6,-0.8,16,$1000000,Traded,5\
431,Henry\'a0Blanco\\blanche01,39,ARI,37,112,4,-1,0,0,2,4,0.5,3,8,0.8,.513,.503,0.8,0.2,8,$1000000,Free Agency,2\
432,Russell\'a0Branyan*\\branyru01,35,2TM,68,146,-3,-1,0,2,-2,-4,-0.5,5,1,0.0,.493,.499,-0.2,-0.1,-1,$1000000,Free Agency,3\
433,Pat\'a0Burrell\\burrepa01,34,SFG,92,219,5,0,0,0,-1,3,0.3,7,10,1.0,.503,.502,0.9,-0.2,10,$1000000,Free Agency,7\
434,Dave\'a0Bush\\bushda01,31,TEX,17,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1000000,Free Agency,1\
435,Orlando\'a0Cabrera\\cabreor01,36,2TM,130,477,-22,-1,0,-3,4,-22,-2.4,17,-5,-0.7,.481,.491,-0.4,0.1,-2,$1000000,Free Agency,4/5D6\
436,Miguel\'a0Cairo\\cairomi01,37,CIN,102,276,1,-2,1,6,1,7,0.7,9,15,1.6,.507,.505,0.9,0.8,9,$1000000,Free Agency,54/3\
437,Randy\'a0Choate*\\choatra01,35,FLA,54,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1000000,Free Agency,1\
438,Jason\'a0Giambi*\\giambja01,40,COL,64,152,8,0,0,0,-2,6,0.6,5,10,1.1,.510,.504,1.0,-0.2,10,$1000000,Free Agency,3/D\
439,Wes\'a0Helms\\helmswe01,35,FLA,69,124,-7,0,0,-2,0,-9,-1.0,4,-5,-0.6,.486,.494,-0.4,-0.2,-3,$1000000,Purchased,5/34\
440,Dan\'a0Johnson*\\johnsda06,31,TBR,31,91,-10,0,-1,1,-1,-11,-1.2,3,-8,-0.9,.461,.492,-1.0,0.0,-9,$1000000,Free Agency,3/5D\
441,Gerald\'a0Laird\\lairdge01,31,STL,37,108,-4,-1,0,-2,1,-5,-0.6,3,-2,-0.2,.485,.497,0.0,-0.1,0,$1000000,Free Agency,2/3D\
442,Brandon\'a0McCarthy\\mccarbr01,27,OAK,25,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$1000000,Free Agency,1\
443,Dioner\'a0Navarro#\\navardi01,27,LAD,64,202,-9,-1,0,1,3,-6,-0.7,6,0,-0.1,.489,.496,-0.2,0.5,-1,$1000000,Free Agency,2/D\
444,Humberto\'a0Quintero\\quinthu01,31,HOU,79,272,-13,0,-1,6,5,-4,-0.4,8,5,0.4,.495,.498,-0.3,1.2,-1,$1000000,Traded,2\
