k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
291,Victor Zambrano\zambrvi01,28,2TM,142.0,26,25,77,4.88,5.20,-0.03,0.20,98.5,5.34,5,0.5,1.91,-0.1,1.9,23,.520,.503,$325000,Traded
292,Steve Randolph*\randost01,30,ARI,81.2,45,6,56,6.17,4.88,-0.04,-0.18,108.2,5.13,-10,-1.0,.78,-0.1,-0.3,-2,.478,.494,$322500,Free Agency
293,Jack Cressend\cressja01,29,CLE,15.2,11,0,11,6.32,4.95,-0.08,-0.37,93.8,4.37,-4,-0.3,1.20,-0.1,-0.2,-2,.469,.498,$322400,Waivers
294,Oliver Perez*\perezol01,22,PIT,196.0,30,30,71,3.26,4.76,-0.11,0.19,100.8,5.10,39,4.3,,-0.1,5.8,57,.642,.526,$321000,Traded
295,Denny Stark\starkde01,29,COL,26.0,6,6,43,14.88,5.05,-0.22,0.20,103.3,5.65,-27,-1.8,,0.0,-1.6,-24,.195,.489,$321000,Traded
296,D.J. Carrasco\carradj01,27,KCR,35.1,30,0,22,5.60,5.18,-0.10,-0.38,101.7,4.98,-3,-0.3,1.27,-0.1,0.0,2,.491,.498,$320500,Rule 5 Draft
297,Rick Ankiel*\ankieri01,24,STL,10.0,5,0,6,5.40,4.24,0.19,-0.31,104.7,3.91,-2,-0.2,1.22,0.0,-0.1,-1,.466,.499,$320000,Amateur Draft
298,Adam Bernero\bernead01,27,COL,32.1,16,2,20,5.57,5.04,-0.16,-0.19,117.7,5.88,1,0.1,.81,-0.1,0.3,4,.506,.501,$320000,Traded
299,Mickey Callaway\callami01,29,TEX,11.1,4,3,10,7.94,5.02,-0.23,0.14,113.7,6.12,-2,-0.2,.01,0.0,-0.1,-1,.444,.499,$320000,Free Agency
300,Lance Carter\cartela02,29,TBD,80.1,56,0,32,3.59,5.24,-0.01,-0.39,99.1,4.83,10,1.0,.95,-0.2,1.6,20,.517,.506,$320000,Free Agency
301,Brian Fuentes*\fuentbr01,28,COL,44.2,47,0,30,6.04,4.70,-0.14,-0.34,114.0,5.12,-5,-0.5,1.30,-0.2,-0.3,-1,.490,.497,$320000,Traded
302,Joe Kennedy*\kennejo04,25,COL,162.1,27,27,68,3.77,4.86,-0.15,0.19,115.1,5.98,39,4.3,,-0.1,5.6,54,.660,.527,$320000,Traded
303,John Parrish*\parrijo01,26,BAL,78.0,56,1,39,4.50,5.07,-0.16,-0.36,98.8,4.82,2,0.2,.77,-0.2,0.8,12,.503,.501,$320000,Amateur Draft
304,Joe Roa\roajo01,32,MIN,70.0,48,0,38,4.89,5.01,-0.01,-0.37,103.2,4.79,-2,-0.2,.87,-0.2,0.4,7,.497,.499,$320000,Free Agency
305,Jose Valverde\valvejo01,26,ARI,29.2,29,0,17,5.16,4.79,-0.03,-0.35,109.4,4.88,-1,-0.1,1.90,-0.1,0.0,2,.496,.499,$320000,Amateur Free Agent
306,Grant Roberts\robergr01,26,NYM,4.2,4,0,9,17.36,4.70,-0.34,-0.35,98.5,4.62,-7,-0.6,.56,0.1,-0.4,-6,.354,.496,$319500,Free Agency
307,Aquilino Lopez\lopezaq01,29,TOR,21.0,18,0,15,6.43,5.24,0.28,-0.39,104.7,4.78,-4,-0.4,.86,0.0,-0.2,-1,.478,.498,$318000,Rule 5 Draft
308,Luis Ayala\ayalalu01,26,MON,90.1,81,0,30,2.99,4.65,0.27,-0.34,105.2,4.25,12,1.2,1.43,0.1,2.1,21,.515,.508,$317500,Purchased
309,Javier Lopez*\lopezja02,26,COL,40.2,64,0,34,7.52,4.88,-0.16,-0.36,113.7,5.32,-10,-1.0,1.08,-0.1,-0.8,-6,.484,.494,$317500,Traded
310,Orber Moreno\morenor01,27,NYM,34.2,33,0,17,4.41,4.82,-0.21,-0.35,99.9,4.67,1,0.1,.97,-0.1,0.3,4,.502,.500,$317500,Free Agency
311,Leo Estrella\estrele01,29,SFG,1.1,2,0,4,27.00,5.06,-0.79,-0.37,102.0,5.59,-3,-0.3,.39,0.1,-0.2,-3,.359,.498,$316000,Traded
312,Gary Knotts\knottga01,27,DET,135.1,36,19,83,5.52,4.96,-0.14,0.07,97.6,5.04,-9,-0.9,.67,-0.1,0.5,8,.476,.495,$316000,Traded
313,Kurt Ainsworth\ainswku01,25,BAL,30.2,7,7,34,9.98,4.95,-0.19,0.19,99.7,5.32,-16,-1.3,,0.0,-1.0,-12,.314,.492,$315000,Traded
314,Zach Day\dayza01,26,MON,116.2,19,19,53,4.09,4.58,0.28,0.18,106.2,4.75,8,0.8,,-0.1,1.7,19,.543,.505,$315000,Traded
315,Chad Durbin\durbich01,26,2TM,60.2,24,8,50,7.42,4.80,-0.07,-0.04,95.9,4.62,-20,-1.8,1.33,-0.2,-1.3,-12,.425,.493,$315000,Waivers
316,Mark Hendrickson*\hendrma01,30,TBD,183.1,32,30,113,5.55,5.13,-0.01,0.19,97.9,5.22,-9,-0.9,.90,-0.1,0.9,14,.473,.495,$315000,Traded
317,Jason Kershner*\kershja01,27,TOR,22.1,24,2,16,6.45,5.32,0.32,-0.22,101.9,4.87,-4,-0.4,1.01,0.0,-0.2,-1,.483,.498,$315000,Waivers
318,Wes Obermueller\obermwe01,27,MIL,118.0,25,20,80,6.10,4.79,-0.13,0.14,100.3,5.08,-14,-1.4,.42,-0.1,-0.4,-3,.445,.492,$314000,Traded
319,Jorge Sosa\sosajo02,26,TBD,99.1,43,8,67,6.07,5.00,-0.01,-0.10,99.3,4.87,-15,-1.4,.98,-0.1,-0.5,-2,.468,.492,$312500,Waivers
320,Jesse Foppert\foppeje01,23,SFG,1.0,1,0,0,0.00,5.01,-0.17,-0.37,90.0,4.33,0,0.0,.08,0.0,0.0,1,.550,.500,$312000,Amateur Draft
321,Ryan Vogelsong\vogelry01,26,PIT,133.0,31,26,97,6.56,4.70,-0.15,0.16,101.0,5.05,-23,-2.2,.25,-0.1,-1.1,-11,.429,.486,$311500,Traded
322,Dan Wheeler\wheelda01,26,2TM,65.0,46,1,33,4.57,4.78,-0.14,-0.32,102.3,4.72,1,0.1,.92,-0.2,0.5,7,.502,.500,$311500,Traded
323,Bob File\filebo01,27,TOR,33.2,24,0,19,5.08,4.99,0.33,-0.37,104.5,4.48,-3,-0.3,.55,0.0,0.1,2,.489,.498,$310000,Amateur Draft
324,Ben Ford\fordbe01,28,MIL,24.0,19,0,17,6.38,4.78,-0.13,-0.35,100.9,4.60,-5,-0.5,1.00,0.0,-0.3,-3,.475,.497,$310000,Free Agency
325,John Patterson\pattejo02,26,MON,98.1,19,19,58,5.31,4.66,0.25,0.18,102.9,4.72,-7,-0.7,,-0.1,0.1,2,.463,.496,$310000,Traded
326,Matt Riley*\rileyma01,24,BAL,64.0,14,13,43,6.05,4.95,-0.17,0.18,100.5,5.33,-6,-0.6,1.34,0.0,0.1,2,.460,.497,$310000,Amateur Draft
327,Todd Wellemeyer\welleto01,25,CHC,24.1,20,0,16,5.92,4.46,-0.10,-0.33,103.9,4.40,-4,-0.4,.75,0.0,-0.2,-2,.479,.497,$310000,Amateur Draft
328,Jerome Williams\willije01,22,SFG,129.1,22,22,69,4.80,4.65,-0.29,0.18,102.1,5.23,5,0.5,,-0.1,1.6,18,.525,.503,$308000,Amateur Draft
329,Shane Nance*\nancesh01,26,ARI,12.1,19,0,11,8.03,4.70,-0.04,-0.34,108.3,4.77,-5,-0.5,1.22,-0.1,-0.4,-3,.476,.497,$307500,Traded
330,Tommy Phelps*\phelpto01,30,FLA,34.0,19,4,20,5.29,4.64,0.07,-0.05,94.8,4.28,-4,-0.4,1.35,-0.1,-0.2,-1,.479,.498,$307500,Free Agency
331,Claudio Vargas\vargacl01,26,MON,118.1,45,14,75,5.70,4.76,0.27,-0.05,105.6,4.69,-14,-1.4,.92,-0.1,-0.5,-3,.469,.491,$307500,Traded
332,Chad Harville\harvich01,27,2TM,55.2,59,0,36,5.82,4.65,0.18,-0.34,102.8,4.25,-10,-1.0,.95,-0.1,-0.6,-5,.483,.494,$307000,Traded
333,Nate Field\fieldna01,28,KCR,44.1,43,0,25,5.08,5.16,-0.09,-0.38,103.5,5.04,-1,-0.1,.93,-0.1,0.3,5,.498,.500,$306500,Free Agency
334,Rafael Betancourt\betanra01,29,CLE,66.2,68,0,32,4.32,5.01,-0.06,-0.37,95.0,4.47,0,0.0,1.56,-0.2,0.6,9,.500,.500,$305200,Free Agency
335,Grant Balfour\balfogr01,26,MIN,39.1,36,0,19,4.35,5.11,-0.01,-0.38,103.9,4.92,2,0.2,1.08,-0.1,0.5,7,.505,.501,$305000,Amateur Free Agent
336,Nate Bump\bumpna01,27,FLA,73.2,50,2,46,5.62,4.65,0.08,-0.30,95.8,4.08,-13,-1.3,1.26,-0.3,-1.0,-6,.474,.492,$305000,Traded
337,Kiko Calero\calerki01,29,STL,45.1,41,0,14,2.78,4.59,0.15,-0.34,100.0,4.11,6,0.7,1.20,0.0,1.0,11,.516,.504,$305000,Free Agency
338,Chris Capuano*\capuach01,25,MIL,88.1,17,17,55,5.60,4.76,-0.11,0.19,102.7,5.19,-5,-0.5,,-0.1,0.2,4,.473,.497,$305000,Traded
339,Sean Douglass\douglse01,25,TOR,38.2,14,3,27,6.28,5.32,0.26,-0.19,104.0,5.06,-6,-0.5,.41,0.0,-0.1,-1,.462,.497,$305000,Waivers
340,Eric DuBose*\duboser01,28,BAL,74.2,14,14,55,6.63,4.97,-0.18,0.19,98.7,5.27,-12,-1.1,,0.0,-0.4,-3,.421,.493,$305000,Free Agency
341,Trent Durrington\durritr01,28,MIL,0.1,1,0,0,0.00,5.08,-0.11,-0.38,102.0,4.91,0,0.0,.00,0.0,0.0,0,.519,.500,$305000,Free Agency
342,Sergio Mitre\mitrese01,23,CHC,51.2,12,9,38,6.62,4.63,-0.12,0.13,100.8,4.92,-10,-1.0,.04,0.0,-0.5,-5,.421,.494,$305000,Amateur Draft
343,Carlos Pulido*\pulidca01,32,MIN,11.1,6,0,13,10.32,5.45,-0.01,-0.40,101.4,5.12,-7,-0.6,.61,0.1,-0.4,-5,.401,.496,$305000,Free Agency
344,Nate Robertson*\roberna01,26,DET,196.2,34,32,116,5.31,4.97,-0.13,0.17,96.3,5.08,-8,-0.7,.75,-0.1,1.2,18,.479,.496,$305000,Traded
345,Duaner Sanchez\sanchdu01,24,LAD,80.0,67,0,34,3.83,4.77,0.36,-0.35,97.2,3.95,1,0.1,.67,-0.2,0.6,8,.501,.500,$305000,Waivers
346,Jimmy Gobble*\gobblji01,22,KCR,148.0,25,24,94,5.72,4.99,-0.10,0.17,103.7,5.45,-6,-0.6,1.29,-0.1,0.8,13,.476,.496,$304000,Amateur Draft
347,Erasmo Ramirez*\ramirer01,28,TEX,35.2,34,0,19,4.79,5.12,-0.21,-0.38,110.4,5.46,2,0.2,1.35,0.0,0.5,7,.506,.501,$303750,Traded
348,Phil Norton*\nortoph01,28,CIN,65.2,69,0,41,5.62,4.85,0.04,-0.36,100.0,4.46,-9,-0.9,.81,-0.1,-0.4,-3,.487,.494,$303500,Traded
349,Cliff Lee*\leecl02,25,CLE,179.0,33,33,113,5.68,5.03,-0.06,0.19,94.7,5.01,-16,-1.5,,-0.1,0.3,7,.455,.491,$303200,Traded
350,Sun-Woo Kim\kimsu01,26,MON,135.2,43,17,80,5.31,4.79,0.28,-0.01,105.1,4.72,-10,-1.0,.59,-0.1,0.1,3,.478,.494,$303000,Traded
351,Jason Stanford*\stanfja01,27,CLE,11.0,2,2,1,0.82,4.51,-0.07,0.17,97.4,4.63,5,0.5,,0.0,0.6,6,.745,.503,$302900,Amateur Free Agent
352,Jorge De Paula\depaujo01,25,NYY,9.0,3,1,6,6.00,5.27,-0.54,0.03,96.4,5.63,0,0.0,.95,0.0,0.0,1,.484,.500,$302550,Traded
353,Justin Duchscherer\duchsju01,26,OAK,96.1,53,0,37,3.46,5.08,-0.11,-0.38,98.9,4.77,13,1.3,1.40,0.0,2.3,25,.524,.508,$302500,Traded
354,Brian Falkenborg\falkebr01,26,LAD,14.1,6,0,14,8.79,4.35,0.38,-0.32,96.6,3.53,-8,-0.8,.96,0.0,-0.7,-7,.373,.495,$302500,Free Agency
355,Chad Gaudin\gaudich01,21,TBD,42.2,26,4,27,5.70,5.32,-0.01,-0.18,95.7,4.93,-4,-0.4,1.00,-0.1,0.0,1,.485,.498,$302500,Amateur Draft
356,Jason Standridge\standja01,25,TBD,10.0,3,1,10,9.00,4.97,-0.01,-0.20,99.5,4.76,-5,-0.4,.33,0.1,-0.2,-4,.363,.497,$302500,Amateur Draft
357,Aaron Taylor\tayloaa01,26,SEA,3.2,5,0,4,9.82,5.33,0.13,-0.40,95.7,4.60,-2,-0.2,.10,0.1,-0.1,-2,.459,.499,$302500,MinorLg Draft
358,Ryan Wagner\wagnery01,21,CIN,51.2,49,0,31,5.40,4.74,0.04,-0.35,100.2,4.36,-6,-0.6,1.03,-0.1,-0.3,-1,.487,.496,$302500,Amateur Draft
359,Steve Colyer*\colyest01,25,DET,32.0,41,0,24,6.75,5.15,-0.11,-0.38,96.2,4.70,-8,-0.7,.84,0.0,-0.4,-4,.482,.495,$302000,Traded
360,Kevin Gregg\greggke01,26,ANA,87.2,55,0,43,4.41,4.99,-0.07,-0.37,98.1,4.59,1,0.1,.75,-0.2,0.8,12,.501,.500,$301500,Free Agency
361,Jon Adkins\adkinjo01,26,CHW,62.0,50,0,35,5.08,5.12,0.10,-0.38,102.4,4.74,-3,-0.3,.74,-0.1,0.3,5,.494,.498,$301000,Traded
362,Neal Cotts*\cottsne01,24,CHW,65.1,56,1,45,6.20,5.17,0.09,-0.36,102.8,4.85,-11,-1.0,.92,-0.1,-0.4,-2,.482,.494,$301000,Traded
363,Justin Wayne\wayneju01,25,FLA,32.2,19,1,24,6.61,4.59,0.08,-0.26,99.7,4.24,-9,-0.9,1.28,-0.2,-0.7,-6,.455,.495,$301000,Traded
364,David Aardsma\aardsda01,22,SFG,10.2,11,0,8,6.75,5.02,-0.37,-0.37,99.2,4.98,-2,-0.2,1.07,0.0,-0.2,-1,.480,.499,$300000,Amateur Draft
365,Kevin Appier\appieke01,36,KCR,4.0,2,2,8,18.00,4.64,-0.12,0.18,104.4,5.15,-6,-0.4,,0.0,-0.4,-5,.281,.497,$300000,Free Agency
366,Jeff Bennett\benneje01,24,MIL,71.1,60,0,43,5.43,4.77,-0.13,-0.35,101.5,4.61,-7,-0.7,.86,-0.1,-0.2,0,.489,.496,$300000,Rule 5 Draft
367,Chad Bentz*\bentzch01,24,MON,27.2,36,0,19,6.18,4.99,0.26,-0.37,103.9,4.53,-5,-0.5,.84,0.0,-0.3,-3,.485,.497,$300000,Amateur Draft
368,Shawn Camp\campsh01,28,KCR,66.2,42,0,37,5.00,5.23,-0.09,-0.39,100.9,4.98,-1,-0.1,.91,-0.2,0.5,8,.498,.499,$300000,Free Agency
369,Chris Carpenter\carpech01,29,STL,182.0,28,28,75,3.71,4.64,0.18,0.18,100.3,4.66,18,1.9,,-0.1,3.3,35,.568,.512,$300000,Free Agency
370,Chad Cordero\cordech01,22,MON,82.2,69,0,28,3.05,4.75,0.24,-0.35,104.9,4.37,12,1.2,1.39,0.1,2.0,19,.517,.507,$300000,Amateur Draft
371,Casey Daigle\daiglca01,23,ARI,49.0,10,10,41,7.53,4.82,-0.04,0.19,111.3,5.62,-11,-1.0,,0.0,-0.6,-6,.401,.494,$300000,Amateur Draft
372,Ryan Dempster\dempsry01,27,CHC,20.2,23,0,9,3.92,4.55,-0.10,-0.33,102.6,4.43,1,0.1,1.26,0.0,0.3,3,.505,.501,$300000,Free Agency
373,Lenny DiNardo*\dinarle01,24,BOS,27.2,22,0,17,5.53,5.26,-0.10,-0.39,106.7,5.31,-1,-0.1,.30,0.0,0.2,3,.495,.499,$300000,Free Agency
374,John Grabow*\grabojo02,25,PIT,61.2,68,0,39,5.69,4.81,-0.14,-0.35,101.6,4.67,-7,-0.7,1.29,-0.2,-0.4,-2,.489,.495,$300000,Amateur Draft
375,Mike Johnston*\johnsmi03,25,PIT,22.2,24,0,16,6.35,4.85,-0.15,-0.36,104.8,4.86,-4,-0.4,1.06,-0.1,-0.3,-2,.484,.498,$300000,Amateur Draft
376,Ryan Madson\madsory01,23,PHI,77.0,52,1,23,2.69,4.61,0.09,-0.33,106.1,4.43,14,1.5,1.27,0.0,2.2,22,.529,.509,$300000,Amateur Draft
377,Cody McKay\mckayco01,30,STL,2.0,1,0,0,0.00,3.88,0.18,-0.28,98.0,3.35,1,0.1,.02,0.0,0.1,1,.578,.500,$300000,Free Agency
378,Andy Pratt*\prattan01,24,CHC,1.2,4,0,4,21.60,6.45,-0.08,-0.48,100.3,6.07,-3,-0.3,1.22,0.0,-0.3,-3,.431,.498,$300000,Traded
379,Jason Szuminski\szumija01,25,SDP,10.0,7,0,9,8.10,4.71,-0.07,-0.35,87.9,3.90,-5,-0.5,.36,0.1,-0.2,-4,.435,.497,$300000,Traded
380,Brad Thomas*\thomabr01,26,MIN,2.2,3,0,5,16.88,5.59,-0.01,-0.42,98.8,5.12,-4,-0.3,2.57,-0.2,-0.5,-3,.397,.498,$300000,Free Agency
381,Lino Urdaneta\urdanli01,24,DET,0.0,1,0,6,,,,,,,,,,0.0,,,,,$300000,Rule 5 Draft
382,Todd Van Poppel\vanpoto01,32,CIN,115.1,48,11,80,6.24,4.71,0.04,-0.07,97.7,4.50,-23,-2.3,.86,-0.1,-1.3,-12,.453,.486,$300000,Free Agency
383,Doug Waechter\waechdo01,23,TBD,70.1,14,14,54,6.91,5.16,-0.01,0.20,100.0,5.37,-13,-1.2,,0.0,-0.5,-4,.417,.493,$300000,Amateur Draft
384,Michael Wuertz\wuertmi01,25,CHC,29.0,31,0,14,4.34,4.59,-0.09,-0.34,102.3,4.44,0,0.0,.76,-0.1,0.2,3,.500,.500,$300000,Amateur Draft
385,Tyler Yates\yatesty01,26,NYM,46.2,21,7,36,6.94,4.41,-0.25,0.02,98.6,4.62,-12,-1.2,.92,0.0,-0.8,-8,.443,.493,$300000,Traded
