k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
84,LaTroy Hawkins\hawkila01,31,CHC,82.0,77,0,27,2.96,4.75,-0.10,-0.35,102.5,4.62,15,1.5,1.44,0.2,2.4,22,.519,.509,$3000000,Free Agency
85,Jason Johnson\johnsja02,30,DET,196.2,33,33,121,5.54,4.94,-0.14,0.19,95.8,5.04,-13,-1.3,,-0.1,0.7,12,.462,.492,$3000000,Free Agency
86,Joel Pineiro\pineijo01,25,SEA,140.2,21,21,77,4.93,5.10,0.12,0.20,99.8,5.16,2,0.2,,-0.1,1.5,20,.508,.501,$3000000,Amateur Draft
87,Sidney Ponson\ponsosi01,27,BAL,215.2,33,33,136,5.68,5.10,-0.20,0.20,100.8,5.54,-6,-0.6,,-0.1,1.5,22,.482,.496,$3000000,Free Agency
88,Paul Quantrill\quantpa01,35,NYY,95.1,86,0,54,5.10,5.11,-0.59,-0.38,97.4,5.18,0,0.0,1.16,-0.2,0.8,12,.500,.500,$3000000,Free Agency
89,Mike Stanton*\stantmi02,37,NYM,77.0,83,0,32,3.74,4.75,-0.22,-0.35,99.7,4.61,7,0.7,1.36,0.0,1.4,14,.509,.504,$3000000,Free Agency
90,Barry Zito*\zitoba01,26,OAK,213.0,34,34,116,4.90,5.14,-0.12,0.20,98.2,5.35,8,0.8,,-0.1,2.8,35,.522,.505,$3000000,Amateur Draft
91,Kazuhisa Ishii*\ishiika01,30,LAD,172.0,31,31,97,5.08,4.63,0.35,0.18,96.9,4.32,-16,-1.5,,-0.1,-0.2,1,.451,.491,$2975000,Free Agency
92,Octavio Dotel\doteloc01,30,2TM,85.1,77,0,38,4.01,4.94,0.01,-0.36,99.9,4.55,4,0.4,1.70,0.0,1.2,14,.505,.501,$2800000,Traded
93,Danny Patterson\patteda04,33,DET,41.2,37,0,24,5.18,5.05,-0.13,-0.37,95.0,4.57,-3,-0.3,1.31,-0.1,0.0,2,.491,.498,$2800000,Traded
94,Shigetoshi Hasegawa\hasegsh01,35,SEA,68.0,68,0,42,5.56,5.24,0.12,-0.39,97.7,4.62,-8,-0.8,1.22,-0.2,-0.3,1,.489,.495,$2750000,Free Agency
95,Cory Lidle\lidleco01,32,2TM,211.1,34,34,123,5.24,4.72,0.06,0.18,100.7,4.87,-10,-0.9,,-0.1,0.7,10,.473,.495,$2750000,Free Agency
96,Tim Worrell\worreti01,36,PHI,78.1,77,0,36,4.14,4.64,0.09,-0.34,103.8,4.37,2,0.2,1.82,-0.1,0.7,9,.502,.501,$2750000,Free Agency
97,Jon Lieber\liebejo01,34,NYY,176.2,27,27,95,4.84,4.97,-0.55,0.19,97.0,5.54,11,1.1,,-0.1,2.8,34,.541,.507,$2700000,Free Agency
98,CC Sabathia*\sabatc.01,23,CLE,188.0,30,30,90,4.31,4.98,-0.06,0.19,95.6,5.01,12,1.2,,-0.1,3.0,36,.540,.507,$2700000,Amateur Draft
